Freq.	V(out)
2.23872113856833e+001	6.96857971112909e-001,1.72540589219376e-001
2.29086765276776e+001	7.01142229300054e-001,1.63228311884311e-001
2.34422881531991e+001	7.05130782407379e-001,1.53820540987928e-001
2.39883291901948e+001	7.08821465482519e-001,1.44326567123049e-001
2.45470891568502e+001	7.12212417558101e-001,1.34755619381309e-001
2.51188643150957e+001	7.15302065422489e-001,1.25116860975638e-001
2.57039578276885e+001	7.18089108153403e-001,1.15419386815077e-001
2.63026799189537e+001	7.20572502604656e-001,1.05672222885679e-001
2.69153480392690e+001	7.22751450017209e-001,9.58843272759295e-002
2.75422870333815e+001	7.24625383906047e-001,8.60645926720096e-002
2.81838293126444e+001	7.26193959354063e-001,7.62218501370964e-002
2.88403150312659e+001	7.27457043823541e-001,6.63648739797228e-002
2.95120922666637e+001	7.28414709574880e-001,5.65023875089575e-002
3.01995172040200e+001	7.29067227761267e-001,4.66430694686845e-002
3.09029543251358e+001	7.29415064246873e-001,3.67955609394908e-002
3.16227766016837e+001	7.29458877175175e-001,2.69684724946070e-002
3.23593656929627e+001	7.29199516292995e-001,1.71703913958740e-002
3.31131121482590e+001	7.28638024015078e-001,7.40988861681974e-003
3.38844156139201e+001	7.27775638193333e-001,-2.30447451732418e-003
3.46736850452530e+001	7.26613796534434e-001,-1.19641402786108e-002
3.54813389233574e+001	7.25154142589325e-001,-2.15605492743782e-002
3.63078054770100e+001	7.23398533218349e-001,-3.10851361668187e-002
3.71535229097171e+001	7.21349047416267e-001,-4.05293265574580e-002
3.80189396320559e+001	7.19007996362590e-001,-4.98845352090302e-002
3.89045144994279e+001	7.16377934544369e-001,-5.91421657645836e-002
3.98107170553495e+001	7.13461671781101e-001,-6.82936121091918e-002
4.07380277804111e+001	7.10262285964942e-001,-7.73302615033769e-002
4.16869383470333e+001	7.06783136314020e-001,-8.62434995991883e-002
4.26579518801591e+001	7.03027876922699e-001,-9.50247174298961e-002
4.36515832240164e+001	6.99000470380267e-001,-1.03665320442423e-001
4.46683592150961e+001	6.94705201219086e-001,-1.12156739618098e-001
4.57088189614873e+001	6.90146688944898e-001,-1.20490444702056e-001
4.67735141287196e+001	6.85329900396130e-001,-1.28657959534958e-001
4.78630092322636e+001	6.80260161175884e-001,-1.36650879452662e-001
4.89778819368444e+001	6.74943165900120e-001,-1.44460890690518e-001
5.01187233627270e+001	6.69384987008609e-001,-1.52079791699186e-001
5.12861383991362e+001	6.63592081891728e-001,-1.59499516248814e-001
5.24807460249770e+001	6.57571298096307e-001,-1.66712158168408e-001
5.37031796370250e+001	6.51329876387595e-001,-1.73709997537714e-001
5.49540873857622e+001	6.44875451462090e-001,-1.80485528120451e-001
5.62341325190346e+001	6.38216050127409e-001,-1.87031485800880e-001
5.75439937337154e+001	6.31360086790546e-001,-1.93340877760788e-001
5.88843655355586e+001	6.24316356124483e-001,-1.99407012111885e-001
6.02559586074355e+001	6.17094022815027e-001,-2.05223527679593e-001
6.16595001861479e+001	6.09702608324486e-001,-2.10784423618975e-001
6.30957344480190e+001	6.02151974645991e-001,-2.16084088532472e-001
6.45654229034652e+001	5.94452305061293e-001,-2.21117328752664e-001
6.60693448007593e+001	5.86614081955218e-001,-2.25879395451725e-001
6.76082975391978e+001	5.78648061780817e-001,-2.30366010242945e-001
6.91830970918933e+001	5.70565247310041e-001,-2.34573388948645e-001
7.07945784384134e+001	5.62376857344563e-001,-2.38498263223255e-001
7.24435960074986e+001	5.54094294099540e-001,-2.42137899739905e-001
7.41310241300914e+001	5.45729108508777e-001,-2.45490116673672e-001
7.58577575029180e+001	5.37292963732226e-001,-2.48553297244024e-001
7.76247116628688e+001	5.28797597175355e-001,-2.51326400112774e-001
7.94328234724277e+001	5.20254781353967e-001,-2.53808966471251e-001
8.12830516164095e+001	5.11676283957122e-001,-2.56001123690893e-001
8.31763771102667e+001	5.03073827474372e-001,-2.57903585454216e-001
8.51138038202372e+001	4.94459048761358e-001,-2.59517648327366e-001
8.70963589956076e+001	4.85843458919792e-001,-2.60845184780341e-001
8.91250938133741e+001	4.77238403863769e-001,-2.61888632705634e-001
9.12010839355905e+001	4.68655025934598e-001,-2.62650981529588e-001
9.33254300796986e+001	4.60104226910880e-001,-2.63135755052446e-001
9.54992586021431e+001	4.51596632740016e-001,-2.63346991192013e-001
9.77237220955805e+001	4.43142560291939e-001,-2.63289218841470e-001
9.99999999999995e+001	4.34751986406495e-001,-2.62967432083462e-001
1.02329299228075e+002	4.26434519472913e-001,-2.62387062029744e-001
1.04712854805089e+002	4.18199373744228e-001,-2.61553946577907e-001
1.07151930523760e+002	4.10055346551838e-001,-2.60474298393908e-001
1.09647819614318e+002	4.02010798546595e-001,-2.59154671441013e-001
1.12201845430196e+002	3.94073637053577e-001,-2.57601926382463e-001
1.14815362149688e+002	3.86251302588743e-001,-2.55823195186700e-001
1.17489755493952e+002	3.78550758547796e-001,-2.53825845260649e-001
1.20226443461741e+002	3.70978484041286e-001,-2.51617443428555e-001
1.23026877081237e+002	3.63540469815969e-001,-2.49205720061769e-001
1.25892541179416e+002	3.56242217171118e-001,-2.46598533648970e-001
1.28824955169313e+002	3.49088739750177e-001,-2.43803836077260e-001
1.31825673855640e+002	3.42084568063333e-001,-2.40829638872820e-001
1.34896288259165e+002	3.35233756575272e-001,-2.37683980625993e-001
1.38038426460288e+002	3.28539893174757e-001,-2.34374895800316e-001
1.41253754462275e+002	3.22006110828848e-001,-2.30910385098699e-001
1.44543977074592e+002	3.15635101214289e-001,-2.27298387533178e-001
1.47910838816820e+002	3.09429130111940e-001,-2.23546754317938e-001
1.51356124843620e+002	3.03390054346745e-001,-2.19663224679079e-001
1.54881661891247e+002	2.97519340055506e-001,-2.15655403649211e-001
